fec_ppto_month;Ship Mode;Region;Product ID;imp_ppto_ganancia
201401;First Class;Central;FUR-BO-10001972;-375,09849
201401;First Class;Central;OFF-BI-10003676;-25,85044
201401;First Class;Central;OFF-EN-10002504;25,6851
201401;First Class;Central;OFF-PA-10000659;23,154432
201401;First Class;East;FUR-FU-10000010;3,23547
201401;First Class;East;OFF-AR-10002399;4,768218
201401;First Class;South;FUR-BO-10004409;34,581456
201401;First Class;South;OFF-BI-10001758;5,872932
201401;First Class;South;TEC-AC-10003628;75,21492
201401;First Class;West;FUR-BO-10003433;-40,497056
201401;First Class;West;FUR-BO-10003966;3,76156
201401;Second Class;Central;OFF-AP-10000692;4,54048
201401;Second Class;East;FUR-FU-10001095;27,740448
201401;Second Class;East;OFF-BI-10001575;-15,130632
201401;Second Class;East;OFF-LA-10001074;9,844821
201401;Second Class;East;OFF-PA-10002005;10,26432
201401;Second Class;East;TEC-PH-10004614;-31,05
201401;Second Class;South;FUR-CH-10000422;79,488864
201401;Second Class;South;OFF-BI-10004187;2,43648
201401;Second Class;South;OFF-EN-10001532;29,2905
201401;Second Class;South;OFF-EN-10001990;4,0044
201401;Second Class;South;OFF-ST-10000025;39,50802
201401;Second Class;South;TEC-AC-10003174;222,47856
201401;Second Class;West;FUR-FU-10001889;4,266912
201401;Standard Class;Central;FUR-CH-10002331;159,229854
201401;Standard Class;Central;FUR-FU-10003194;11,4642
201401;Standard Class;Central;OFF-AR-10002375;6,591816
201401;Standard Class;Central;OFF-AR-10003811;1,772199
201401;Standard Class;Central;OFF-AR-10004078;0,91104
201401;Standard Class;Central;OFF-BI-10003091;-45,333552
201401;Standard Class;Central;OFF-BI-10004094;-6,14544
201401;Standard Class;Central;OFF-EN-10001539;12,286176
201401;Standard Class;Central;OFF-LA-10003223;3,716379
201401;Standard Class;Central;OFF-PA-10000174;5,162616
201401;Standard Class;Central;OFF-ST-10002743;-62,831556
201401;Standard Class;Central;TEC-AC-10001266;6,9225
201401;Standard Class;Central;TEC-PH-10001061;145,58544
201401;Standard Class;East;FUR-BO-10003034;3,104226
201401;Standard Class;East;FUR-FU-10001847;3,532248
201401;Standard Class;East;FUR-FU-10004587;22,162896
201401;Standard Class;East;OFF-AR-10003478;5,03052
201401;Standard Class;East;OFF-AR-10003514;6,10731
201401;Standard Class;East;OFF-FA-10003467;0
201401;Standard Class;East;OFF-PA-10000380;7,7562
201401;Standard Class;East;OFF-PA-10001204;5,51232
201401;Standard Class;East;OFF-PA-10003072;11,104128
201401;Standard Class;East;OFF-ST-10000078;250,58565
201401;Standard Class;East;OFF-ST-10000991;7,657002
201401;Standard Class;East;OFF-ST-10004337;0
201401;Standard Class;East;TEC-PH-10002103;45,265584
201401;Standard Class;East;TEC-PH-10004833;0
201401;Standard Class;South;FUR-CH-10004063;694,159254
201401;Standard Class;South;FUR-FU-10000965;19,16586
201401;Standard Class;South;FUR-FU-10003194;5,5005
201401;Standard Class;South;OFF-AR-10001662;1,154088
201401;Standard Class;South;OFF-BI-10004632;318,40956
201401;Standard Class;South;OFF-FA-10001883;0,220952
201401;Standard Class;South;OFF-LA-10004272;1,113806
201401;Standard Class;South;OFF-PA-10000955;2,286384
201401;Standard Class;South;OFF-PA-10002893;6,690816
201401;Standard Class;South;TEC-PH-10004539;142,87644
201401;Standard Class;South;TEC-PH-10004977;89,802618
201401;Standard Class;West;FUR-FU-10002268;3,645675
201401;Standard Class;West;FUR-FU-10002918;31,224336
201401;Standard Class;West;FUR-FU-10004864;-40,819296
201401;Standard Class;West;FUR-TA-10003469;-18,648
201401;Standard Class;West;OFF-AP-10002311;101,068128
201401;Standard Class;West;OFF-AR-10003179;9,740412
201401;Standard Class;West;OFF-AR-10004456;9,297864
201401;Standard Class;West;OFF-BI-10000343;1,59084
201401;Standard Class;West;OFF-BI-10000605;8,9535
201401;Standard Class;West;OFF-BI-10003476;-2,01696
201401;Standard Class;West;OFF-BI-10003708;-17,88745
201401;Standard Class;West;OFF-BI-10004364;11,7612
201401;Standard Class;West;OFF-PA-10001804;14,4288
201401;Standard Class;West;OFF-PA-10002947;11,521664
201401;Standard Class;West;OFF-ST-10000760;4,135284
201401;Standard Class;West;OFF-ST-10003123;12,78336
201401;Standard Class;West;OFF-ST-10003692;14,3075
201402;First Class;Central;OFF-AR-10003560;3,779328
201402;First Class;Central;OFF-PA-10001800;7,744896
201402;First Class;Central;TEC-AC-10001432;191,87388
201402;First Class;East;FUR-FU-10002111;5,034848
201402;First Class;South;OFF-LA-10002787;7,272
201402;First Class;South;TEC-PH-10001615;39,933725
201402;First Class;South;TEC-PH-10003645;42,858972
201402;Same Day;Central;FUR-FU-10002396;-9,96336
